iter	Passed	Remaining
0	3	3221
1	4	2441
2	6	2286
3	9	2244
4	12	2501
5	16	2659
6	20	2844
7	22	2750
8	24	2690
9	28	2826
10	30	2774
11	32	2709
12	34	2650
13	36	2581
14	38	2550
15	41	2527
16	46	2667
17	48	2653
18	50	2610
19	52	2562
20	54	2534
21	56	2499
22	60	2556
23	62	2537
24	63	2493
25	65	2469
26	67	2431
27	68	2393
28	70	2367
29	72	2337
30	76	2383
31	77	2356
32	79	2328
33	80	2300
34	82	2271
35	83	2246
36	85	2225
37	87	2223
38	91	2261
39	93	2252
40	95	2237
41	97	2224
42	99	2206
43	101	2200
44	103	2192
45	106	2208
46	108	2195
47	110	2186
48	111	2173
49	113	2158
50	115	2144
51	116	2130
52	118	2113
53	120	2103
54	123	2124
55	125	2110
56	126	2096
57	128	2079
58	129	2063
59	130	2050
60	132	2042
61	134	2035
62	138	2052
63	139	2042
64	141	2032
65	142	2023
66	144	2011
67	146	2004
68	149	2017
69	151	2013
70	153	2003
71	155	2008
72	158	2006
73	160	2011
74	162	2008
75	165	2010
76	168	2025
77	170	2016
78	172	2007
79	174	2003
80	176	2000
81	177	1990
82	179	1980
83	180	1970
84	183	1978
85	185	1969
86	186	1958
87	187	1947
88	189	1943
89	191	1935
90	192	1924
91	194	1916
92	195	1907
93	196	1897
94	199	1896
95	200	1887
96	201	1877
97	203	1872
98	204	1864
99	206	1856
100	207	1848
101	208	1832
102	209	1823
103	210	1816
104	213	1823
105	215	1815
106	216	1808
107	218	1805
108	219	1798
109	221	1790
110	222	1782
111	223	1774
112	225	1767
113	226	1762
114	229	1767
115	231	1761
116	232	1756
117	234	1749
118	235	1741
119	236	1735
120	237	1728
121	239	1721
122	240	1714
123	241	1707
124	243	1701
125	246	1709
126	248	1706
127	249	1701
128	251	1697
129	253	1693
130	254	1687
131	255	1683
132	257	1678
133	260	1681
134	261	1678
135	263	1673
136	264	1667
137	266	1663
138	267	1657
139	268	1651
140	270	1647
141	271	1641
142	272	1635
143	275	1634
144	278	1641
145	280	1638
146	281	1632
147	282	1628
148	284	1626
149	286	1623
150	292	1643
151	295	1647
152	297	1645
153	298	1641
154	300	1637
155	301	1633
156	303	1629
157	307	1638
158	310	1641
159	312	1639
160	314	1641
161	317	1644
162	319	1641
163	323	1650
164	326	1653
165	328	1648
166	329	1643
167	330	1638
168	332	1634
169	333	1629
170	337	1634
171	338	1631
172	340	1625
173	341	1620
174	342	1615
175	344	1610
176	345	1606
177	346	1601
178	348	1599
179	350	1595
180	352	1596
181	354	1592
182	355	1587
183	356	1582
184	358	1579
185	359	1574
186	361	1569
187	362	1564
188	364	1562
189	365	1558
190	368	1559
191	369	1556
192	371	1554
193	373	1550
194	374	1546
195	375	1542
196	377	1538
197	378	1534
198	380	1531
199	381	1527
200	384	1528
201	386	1525
202	387	1521
203	388	1517
204	390	1513
205	391	1509
206	392	1504
207	395	1505
208	396	1501
209	398	1498
210	399	1494
211	401	1490
212	402	1485
213	403	1483
214	405	1479
215	406	1476
216	408	1472
217	409	1469
218	411	1466
219	412	1461
220	415	1463
221	416	1460
222	418	1456
223	419	1453
224	421	1450
225	422	1447
226	423	1443
227	425	1440
228	426	1435
229	427	1432
230	431	1436
231	432	1432
232	434	1429
233	435	1426
234	437	1423
235	438	1420
236	440	1417
237	441	1413
238	443	1410
239	446	1413
240	447	1409
241	449	1407
242	450	1404
243	452	1400
244	453	1397
245	455	1395
246	456	1391
247	458	1388
248	460	1389
249	462	1387
250	464	1385
251	466	1383
252	468	1381
253	469	1379
254	471	1376
255	472	1374
256	474	1372
257	477	1373
258	478	1369
259	480	1368
260	482	1365
261	483	1362
262	485	1359
263	486	1356
264	487	1353
265	489	1349
266	492	1351
267	493	1347
268	495	1345
269	497	1344
270	498	1341
271	499	1338
272	501	1335
273	502	1332
274	504	1329
275	505	1326
276	508	1327
277	510	1325
278	511	1322
279	512	1319
280	514	1315
281	515	1312
282	516	1309
283	518	1307
284	519	1304
285	521	1301
286	524	1303
287	526	1300
288	527	1297
289	528	1294
290	529	1291
291	531	1288
292	532	1284
293	533	1282
294	535	1279
295	536	1276
296	540	1278
297	541	1275
298	542	1272
299	544	1270
300	545	1267
301	547	1265
302	548	1262
303	550	1259
304	551	1257
305	554	1257
306	557	1257
307	559	1256
308	561	1255
309	563	1254
310	565	1252
311	566	1249
312	568	1246
313	570	1247
314	572	1244
315	573	1241
316	574	1238
317	576	1235
318	577	1233
319	578	1230
320	580	1227
321	581	1225
322	584	1224
323	587	1226
324	589	1224
325	590	1221
326	592	1218
327	593	1216
328	595	1213
329	596	1210
330	598	1209
331	599	1207
332	601	1205
333	603	1202
334	604	1200
335	605	1197
336	607	1194
337	608	1191
338	609	1189
339	611	1187
340	612	1184
341	616	1185
342	617	1182
343	618	1180
344	620	1177
345	621	1175
346	623	1173
347	624	1170
348	626	1169
349	628	1166
350	629	1164
351	631	1163
352	633	1160
353	634	1157
354	635	1155
355	637	1152
356	639	1151
357	640	1148
358	642	1146
359	643	1143
360	646	1143
361	647	1141
362	648	1138
363	650	1136
364	651	1133
365	652	1130
366	654	1129
367	655	1126
368	657	1124
369	658	1121
370	661	1121
371	662	1118
372	664	1116
373	665	1113
374	666	1111
375	668	1109
376	670	1107
377	671	1104
378	672	1102
379	674	1099
380	676	1099
381	678	1097
382	679	1094
383	680	1092
384	682	1089
385	684	1088
386	686	1086
387	687	1084
388	689	1083
389	691	1082
390	693	1080
391	695	1078
392	698	1078
393	699	1076
394	701	1073
395	702	1071
396	703	1069
397	705	1066
398	708	1066
399	709	1064
400	711	1062
401	713	1060
402	714	1058
403	715	1056
404	717	1053
405	718	1051
406	720	1049
407	721	1046
408	724	1046
409	725	1044
410	727	1042
411	728	1039
412	729	1037
413	731	1034
414	732	1032
415	734	1030
416	735	1028
417	736	1026
418	739	1025
419	740	1022
420	742	1020
421	743	1018
422	745	1016
423	746	1014
424	748	1012
425	749	1010
426	751	1007
427	752	1005
428	755	1005
429	757	1003
430	758	1001
431	760	999
432	762	997
433	763	995
434	765	993
435	766	991
436	768	989
437	771	989
438	772	987
439	773	984
440	775	982
441	776	980
442	777	977
443	779	975
444	780	973
445	781	971
446	783	969
447	786	969
448	788	967
449	790	965
450	791	963
451	792	961
452	794	959
453	795	956
454	796	954
455	797	951
456	799	949
457	803	950
458	804	948
459	805	946
460	807	943
461	808	941
462	809	938
463	810	936
464	812	934
465	813	931
466	814	929
467	818	930
468	819	928
469	821	925
470	822	923
471	823	921
472	824	918
473	826	916
474	827	914
475	828	912
476	829	910
477	832	909
478	834	908
479	836	905
480	837	903
481	838	901
482	839	898
483	840	896
484	842	894
485	843	892
486	844	889
487	847	889
488	849	887
489	850	885
490	852	883
491	853	881
492	854	879
493	856	877
494	857	875
495	859	873
496	861	871
497	864	871
498	865	869
499	866	866
500	868	864
501	869	862
502	870	860
503	872	858
504	873	856
505	874	854
506	876	851
507	877	849
508	880	849
509	881	847
510	882	844
511	884	843
512	885	840
513	887	838
514	888	836
515	889	834
516	891	833
517	893	831
518	896	830
519	898	829
520	899	827
521	900	825
522	902	822
523	903	820
524	905	819
525	906	816
526	908	815
527	911	814
528	912	812
529	914	810
530	915	808
531	917	806
532	918	804
533	920	803
534	923	802
535	926	802
536	928	800
537	930	798
538	931	796
539	932	794
540	934	792
541	935	790
542	936	788
543	938	786
544	940	784
545	942	783
546	944	781
547	945	779
548	946	777
549	948	776
550	950	774
551	952	772
552	954	771
553	955	769
554	959	769
555	960	767
556	962	765
557	964	763
558	965	761
559	967	759
560	968	758
561	970	756
562	971	754
563	974	753
564	976	751
565	977	749
566	979	748
567	980	745
568	982	743
569	983	741
570	984	739
571	986	737
572	987	735
573	989	734
574	990	732
575	992	730
576	993	728
577	995	726
578	996	724
579	998	722
580	999	720
581	1000	718
582	1004	718
583	1006	716
584	1007	714
585	1009	713
586	1010	711
587	1012	709
588	1013	707
589	1015	705
590	1016	703
591	1019	702
592	1021	701
593	1022	699
594	1024	697
595	1025	695
596	1026	693
597	1028	691
598	1030	689
599	1031	687
600	1032	685
601	1035	684
602	1037	682
603	1038	680
604	1039	678
605	1041	677
606	1042	675
607	1044	673
608	1045	671
609	1046	669
610	1048	667
611	1052	667
612	1054	665
613	1056	663
614	1058	662
615	1059	660
616	1061	659
617	1063	657
618	1067	656
619	1069	655
620	1071	653
621	1072	651
622	1073	649
623	1074	647
624	1075	645
625	1076	643
626	1077	641
627	1078	639
628	1081	638
629	1083	636
630	1084	634
631	1085	632
632	1086	630
633	1088	628
634	1089	626
635	1090	624
636	1091	622
637	1093	620
638	1094	618
639	1097	617
640	1099	615
641	1100	613
642	1101	611
643	1103	609
644	1104	607
645	1105	605
646	1107	603
647	1108	602
648	1110	600
649	1112	599
650	1114	597
651	1116	595
652	1117	593
653	1119	592
654	1120	590
655	1121	588
656	1123	586
657	1125	584
658	1126	582
659	1128	581
660	1129	579
661	1131	577
662	1132	575
663	1134	573
664	1135	571
665	1136	570
666	1138	568
667	1139	566
668	1142	565
669	1144	563
670	1146	561
671	1147	560
672	1149	558
673	1150	556
674	1153	555
675	1154	553
676	1155	551
677	1158	550
678	1160	548
679	1161	546
680	1162	544
681	1164	542
682	1165	540
683	1166	539
684	1168	537
685	1169	535
686	1171	533
687	1174	532
688	1176	530
689	1177	529
690	1179	527
691	1180	525
692	1182	523
693	1183	521
694	1184	519
695	1186	518
696	1187	516
697	1190	515
698	1192	513
699	1193	511
700	1195	509
701	1196	508
702	1198	506
703	1199	504
704	1200	502
705	1202	500
706	1205	499
707	1207	497
708	1208	496
709	1210	494
710	1212	492
711	1213	490
712	1214	489
713	1216	487
714	1217	485
715	1220	484
716	1222	482
717	1223	480
718	1225	478
719	1226	477
720	1228	475
721	1229	473
722	1230	471
723	1232	469
724	1233	467
725	1236	466
726	1238	464
727	1239	463
728	1240	461
729	1242	459
730	1243	457
731	1245	455
732	1246	454
733	1247	452
734	1249	450
735	1252	449
736	1254	447
737	1255	445
738	1257	444
739	1258	442
740	1260	440
741	1261	438
742	1263	436
743	1264	435
744	1266	433
745	1268	431
746	1270	430
747	1271	428
748	1273	426
749	1274	424
750	1275	423
751	1277	421
752	1278	419
753	1280	417
754	1283	416
755	1284	414
756	1286	412
757	1287	411
758	1288	409
759	1290	407
760	1291	405
761	1293	403
762	1294	402
763	1296	400
764	1300	399
765	1302	397
766	1303	396
767	1304	394
768	1306	392
769	1307	390
770	1308	388
771	1310	386
772	1312	385
773	1314	383
774	1315	381
775	1316	380
776	1318	378
777	1319	376
778	1320	374
779	1322	372
780	1323	371
781	1324	369
782	1325	367
783	1328	366
784	1330	364
785	1331	362
786	1332	360
787	1333	358
788	1334	356
789	1335	355
790	1337	353
791	1339	351
792	1340	350
793	1342	348
794	1343	346
795	1345	344
796	1346	343
797	1348	341
798	1349	339
799	1351	337
800	1353	336
801	1354	334
802	1355	332
803	1359	331
804	1360	329
805	1361	327
806	1363	325
807	1364	324
808	1365	322
809	1367	320
810	1368	319
811	1370	317
812	1371	315
813	1374	314
814	1376	312
815	1377	310
816	1378	308
817	1380	307
818	1381	305
819	1382	303
820	1384	301
821	1385	300
822	1386	298
823	1389	296
824	1391	295
825	1392	293
826	1394	291
827	1395	289
828	1397	288
829	1398	286
830	1400	284
831	1401	283
832	1404	281
833	1406	279
834	1407	278
835	1408	276
836	1411	274
837	1412	273
838	1414	271
839	1415	269
840	1416	267
841	1418	266
842	1421	264
843	1422	262
844	1425	261
845	1427	259
846	1429	258
847	1430	256
848	1432	254
849	1436	253
850	1439	252
851	1442	250
852	1444	248
853	1446	247
854	1447	245
855	1449	243
856	1452	242
857	1454	240
858	1456	239
859	1457	237
860	1459	235
861	1461	233
862	1463	232
863	1465	230
864	1470	229
865	1471	227
866	1473	226
867	1475	224
868	1477	222
869	1479	221
870	1483	219
871	1485	218
872	1487	216
873	1488	214
874	1490	212
875	1492	211
876	1493	209
877	1495	207
878	1499	206
879	1500	204
880	1502	202
881	1503	201
882	1505	199
883	1506	197
884	1508	196
885	1509	194
886	1512	192
887	1515	191
888	1516	189
889	1518	187
890	1519	185
891	1521	184
892	1522	182
893	1524	180
894	1527	179
895	1530	177
896	1532	175
897	1533	174
898	1534	172
899	1535	170
900	1537	168
901	1538	167
902	1540	165
903	1542	163
904	1543	162
905	1547	160
906	1548	158
907	1550	157
908	1551	155
909	1553	153
910	1555	151
911	1556	150
912	1558	148
913	1561	146
914	1563	145
915	1564	143
916	1565	141
917	1567	139
918	1568	138
919	1571	136
920	1572	134
921	1574	133
922	1578	131
923	1579	129
924	1580	128
925	1581	126
926	1582	124
927	1584	122
928	1586	121
929	1588	119
930	1589	117
931	1593	116
932	1594	114
933	1595	112
934	1596	110
935	1597	109
936	1599	107
937	1600	105
938	1602	104
939	1603	102
940	1605	100
941	1608	99
942	1609	97
943	1611	95
944	1612	93
945	1614	92
946	1616	90
947	1617	88
948	1618	87
949	1620	85
950	1621	83
951	1623	81
952	1624	80
953	1625	78
954	1627	76
955	1629	74
956	1630	73
957	1632	71
958	1633	69
959	1634	68
960	1635	66
961	1636	64
962	1638	62
963	1639	61
964	1640	59
965	1642	57
966	1644	56
967	1646	54
968	1647	52
969	1649	51
970	1650	49
971	1651	47
972	1654	45
973	1655	44
974	1657	42
975	1658	40
976	1660	39
977	1661	37
978	1663	35
979	1664	33
980	1665	32
981	1667	30
982	1670	28
983	1673	27
984	1675	25
985	1676	23
986	1677	22
987	1678	20
988	1679	18
989	1681	16
990	1682	15
991	1685	13
992	1686	11
993	1688	10
994	1689	8
995	1691	6
996	1692	5
997	1694	3
998	1695	1
999	1697	0
